,DELNG_DE,MRKT_NM,CPR_NM,PRDLST_NM,SPCIES_NM,GRAD,weight,PRI_MAX,PRI_MIN,PRI_AVE,PRI_PRED
0,2021-01-16,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4600.0,1000.0,3267.631864406779,2602.2092
1,2021-01-19,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,3222.22,3222.22,3222.22,2826.2878
2,2021-01-20,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4750.0,1000.0,3127.122641509434,2952.2778
3,2021-01-21,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4750.0,1000.0,2989.730606060606,3020.1387
4,2021-01-22,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4000.0,1000.0,2774.8246846846846,3046.7117
5,2021-01-23,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,1000.0,2766.740442477876,3020.0361
6,2021-01-27,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,1250.0,2964.983131313131,2982.0002
7,2021-01-28,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4800.0,1500.0,3384.644269662921,2967.6492
8,2021-01-29,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4800.0,1500.0,3449.110097087378,3065.377
9,2021-01-30,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4800.0,1250.0,3557.9167,3127.8738
10,2021-02-03,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,5400.0,2500.0,3843.254,3236.61
11,2021-02-04,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,5800.0,1750.0,3751.649375,3336.697
12,2021-02-05,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,6400.0,1000.0,3831.0834,3388.0598
13,2021-02-06,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,14074.07,1250.0,3680.1311666666666,3430.243
14,2021-02-09,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4000.0,3750.0,3767.857142857143,3304.2502
15,2021-02-10,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,8000.0,500.0,4262.160518518518,4656.1157
16,2021-02-11,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,5000.0,500.0,3297.488630136986,4524.297
17,2021-02-17,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,5800.0,1000.0,3457.986111111112,4246.619
18,2021-02-18,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,3750.0,600.0,2649.305555555556,3934.9075
19,2021-02-19,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,5600.0,250.0,2619.298210526316,3587.188
20,2021-02-20,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,5400.0,1166.67,2513.861485148515,3258.0107
21,2021-02-26,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,750.0,2364.9340594059404,2446.353
22,2021-02-27,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4800.0,250.0,2324.694220183486,2436.766
23,2021-03-03,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,250.0,2502.426202531645,2918.9004
24,2021-03-04,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,750.0,2672.039605263158,2842.2012
25,2021-03-05,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,1000.0,2914.32595505618,2827.175
26,2021-03-06,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4800.0,1000.0,3283.6806249999995,2824.8208
27,2021-03-10,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,1000.0,3084.5506741573035,2813.752
28,2021-03-11,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4200.0,2000.0,3026.458375,2840.8452
29,2021-03-12,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,1750.0,3116.171683168317,2865.6157
30,2021-03-13,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,5400.0,1000.0,3107.7045283018865,2856.3333
31,2021-03-17,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,1250.0,2813.7580188679244,2726.5037
32,2021-03-18,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,2000.0,2820.9547572815536,2720.772
33,2021-03-19,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,2000.0,2729.0125,2707.338
34,2021-03-20,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,1250.0,2778.9755963302755,2682.2295
35,2021-03-24,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,1250.0,2616.493125,2639.2654
36,2021-03-25,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,1250.0,2559.751808510638,2625.1418
37,2021-03-26,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,750.0,2429.6667,2614.8127
38,2021-03-27,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,750.0,2503.3019811320755,2598.7786
39,2021-03-31,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,1750.0,2521.701458333333,2596.87
40,2021-04-01,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,1000.0,2483.239775280899,2581.954
41,2021-04-02,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,350.0,2536.8123300970874,2588.6982
42,2021-04-03,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,500.0,2326.0417307692305,2570.9475
43,2021-04-07,서울가락도매,중앙청과,새송이,새송이(일반),특,1KG,4666.67,500.0,2541.422417582417,2544.601
